

  0% 1/154173 [00:04<188:31:14,  4.40s/it]




  0% 5/154173 [00:13<104:48:47,  2.45s/it]





  0% 10/154173 [00:24<98:00:15,  2.29s/it]





  0% 15/154173 [00:36<97:00:49,  2.27s/it]





  0% 20/154173 [00:47<96:50:01,  2.26s/it]





  0% 25/154173 [00:58<98:30:00,  2.30s/it]





  0% 30/154173 [01:10<97:05:24,  2.27s/it]





  0% 35/154173 [01:21<96:50:19,  2.26s/it]





  0% 40/154173 [01:32<96:47:17,  2.26s/it]





  0% 45/154173 [01:44<96:47:17,  2.26s/it]





  0% 50/154173 [01:55<98:27:13,  2.30s/it]





  0% 55/154173 [02:06<97:03:03,  2.27s/it]





  0% 60/154173 [02:18<96:50:49,  2.26s/it]





  0% 65/154173 [02:29<96:48:07,  2.26s/it]





  0% 70/154173 [02:40<96:45:12,  2.26s/it]





  0% 75/154173 [02:52<98:28:13,  2.30s/it]





  0% 80/154173 [03:03<97:04:26,  2.27s/it]





  0% 85/154173 [03:14<96:49:20,  2.26s/it]





  0% 90/154173 [03:26<96:50:53,  2.26s/it]





  0% 95/154173 [03:37<96:47:46,  2.26s/it]





  0% 100/154173 [03:48<98:27:03,  2.30s/it]





  0% 105/154173 [04:00<97:03:29,  2.27s/it]





  0% 110/154173 [04:11<96:47:22,  2.26s/it]





  0% 115/154173 [04:22<96:43:19,  2.26s/it]





  0% 120/154173 [04:34<96:49:16,  2.26s/it]





  0% 125/154173 [04:45<98:20:27,  2.30s/it]





  0% 130/154173 [04:56<97:00:31,  2.27s/it]





  0% 135/154173 [05:08<96:47:09,  2.26s/it]





  0% 140/154173 [05:19<96:45:07,  2.26s/it]





  0% 145/154173 [05:30<96:46:53,  2.26s/it]





  0% 150/154173 [05:42<98:21:54,  2.30s/it]





  0% 155/154173 [05:53<97:01:40,  2.27s/it]





  0% 160/154173 [06:04<96:47:22,  2.26s/it]





  0% 165/154173 [06:16<96:43:34,  2.26s/it]





  0% 170/154173 [06:27<96:44:49,  2.26s/it]





  0% 175/154173 [06:38<98:26:39,  2.30s/it]





  0% 180/154173 [06:50<97:00:23,  2.27s/it]





  0% 185/154173 [07:01<96:46:40,  2.26s/it]





  0% 190/154173 [07:12<96:45:27,  2.26s/it]





  0% 195/154173 [07:24<96:43:29,  2.26s/it]





  0% 200/154173 [07:35<98:21:15,  2.30s/it]





  0% 205/154173 [07:46<96:57:25,  2.27s/it]





  0% 210/154173 [07:58<96:43:22,  2.26s/it]





  0% 215/154173 [08:09<96:41:13,  2.26s/it]





  0% 220/154173 [08:20<96:41:10,  2.26s/it]





  0% 225/154173 [08:32<98:21:47,  2.30s/it]





  0% 230/154173 [08:43<96:59:16,  2.27s/it]





